model-1693255432, 1693255433.912, 0.55, 0.25, 0.49, 0.27
model-1693255432, 1693255434.821, 0.52, 0.26, 0.53, 0.25
model-1693255432, 1693255435.656, 0.58, 0.25, 0.48, 0.25
model-1693255432, 1693255436.571, 0.47, 0.25, 0.53, 0.25
model-1693255432, 1693255437.369, 0.48, 0.25, 0.52, 0.25
model-1693255432, 1693255438.193, 0.55, 0.25, 0.47, 0.25
model-1693255432, 1693255439.191, 0.54, 0.25, 0.44, 0.25
model-1693255432, 1693255440.09, 0.45, 0.25, 0.44, 0.25
model-1693255432, 1693255441.983, 0.46, 0.25, 0.47, 0.25
model-1693255432, 1693255442.791, 0.56, 0.25, 0.49, 0.25
model-1693255432, 1693255443.678, 0.55, 0.25, 0.52, 0.25
model-1693255432, 1693255444.815, 0.56, 0.25, 0.53, 0.25
model-1693255432, 1693255445.738, 0.54, 0.25, 0.5, 0.25
model-1693255432, 1693255446.554, 0.52, 0.25, 0.53, 0.25
model-1693255432, 1693255447.378, 0.61, 0.25, 0.52, 0.25
model-1693255432, 1693255448.209, 0.47, 0.25, 0.56, 0.25
model-1693255432, 1693255449.18, 0.58, 0.25, 0.52, 0.25
model-1693255432, 1693255450.015, 0.57, 0.25, 0.54, 0.25
model-1693255432, 1693255450.875, 0.51, 0.25, 0.42, 0.27
model-1693255432, 1693255451.952, 0.62, 0.24, 0.48, 0.26
model-1693255432, 1693255453.107, 0.49, 0.26, 0.55, 0.25
model-1693255432, 1693255454.073, 0.53, 0.25, 0.55, 0.25
model-1693255432, 1693255455.108, 0.53, 0.25, 0.46, 0.26
model-1693255432, 1693255456.151, 0.51, 0.25, 0.45, 0.25
model-1693255432, 1693255457.159, 0.49, 0.25, 0.48, 0.25
model-1693255432, 1693255457.949, 0.56, 0.25, 0.58, 0.25
model-1693255432, 1693255458.767, 0.61, 0.25, 0.54, 0.25
model-1693255432, 1693255459.612, 0.55, 0.25, 0.55, 0.25
model-1693255432, 1693255460.493, 0.47, 0.25, 0.56, 0.25
model-1693255432, 1693255461.272, 0.44, 0.25, 0.56, 0.25
model-1693255432, 1693255462.034, 0.52, 0.25, 0.45, 0.25
model-1693255432, 1693255462.85, 0.61, 0.25, 0.56, 0.25
model-1693255432, 1693255463.698, 0.53, 0.25, 0.48, 0.25
model-1693255432, 1693255464.559, 0.6, 0.25, 0.62, 0.25
model-1693255432, 1693255465.398, 0.61, 0.25, 0.56, 0.25
model-1693255432, 1693255466.234, 0.51, 0.25, 0.54, 0.25
model-1693255432, 1693255467.151, 0.61, 0.25, 0.54, 0.25
model-1693255432, 1693255468.048, 0.56, 0.25, 0.52, 0.25
model-1693255432, 1693255468.952, 0.5, 0.25, 0.43, 0.25
model-1693255432, 1693255469.813, 0.48, 0.25, 0.57, 0.25
model-1693255432, 1693255470.741, 0.55, 0.25, 0.48, 0.25
model-1693255432, 1693255471.595, 0.56, 0.25, 0.53, 0.25
model-1693255432, 1693255472.504, 0.62, 0.24, 0.47, 0.25
model-1693255432, 1693255473.367, 0.4, 0.26, 0.66, 0.24
model-1693255432, 1693255474.259, 0.54, 0.25, 0.57, 0.25
model-1693255432, 1693255475.104, 0.52, 0.25, 0.62, 0.24
model-1693255432, 1693255475.935, 0.44, 0.25, 0.58, 0.25
model-1693255432, 1693255476.801, 0.55, 0.25, 0.52, 0.25
model-1693255432, 1693255477.664, 0.59, 0.24, 0.55, 0.25
model-1693255432, 1693255478.507, 0.52, 0.25, 0.5, 0.25
model-1693255432, 1693255479.41, 0.59, 0.25, 0.5, 0.25
model-1693255432, 1693255480.282, 0.44, 0.25, 0.49, 0.25
model-1693255432, 1693255481.155, 0.55, 0.25, 0.59, 0.24
model-1693255432, 1693255482.226, 0.55, 0.25, 0.59, 0.25
model-1693255432, 1693255483.066, 0.54, 0.24, 0.66, 0.24
model-1693255432, 1693255483.936, 0.55, 0.25, 0.49, 0.25
model-1693255432, 1693255484.89, 0.52, 0.25, 0.52, 0.25
model-1693255432, 1693255485.894, 0.57, 0.24, 0.57, 0.24
model-1693255432, 1693255486.792, 0.52, 0.24, 0.51, 0.24
model-1693255432, 1693255487.828, 0.49, 0.25, 0.58, 0.24
model-1693255432, 1693255488.699, 0.49, 0.26, 0.51, 0.25
model-1693255432, 1693255489.587, 0.55, 0.24, 0.61, 0.24
model-1693255432, 1693255490.508, 0.56, 0.25, 0.64, 0.24
model-1693255432, 1693255491.409, 0.55, 0.25, 0.53, 0.25
model-1693255432, 1693255492.323, 0.48, 0.25, 0.55, 0.25
model-1693255432, 1693255493.273, 0.59, 0.25, 0.56, 0.25
model-1693255432, 1693255494.257, 0.58, 0.24, 0.56, 0.25
model-1693255432, 1693255495.162, 0.59, 0.25, 0.54, 0.24
model-1693255432, 1693255496.205, 0.54, 0.25, 0.53, 0.25
model-1693255432, 1693255497.206, 0.6, 0.24, 0.53, 0.25
model-1693255432, 1693255498.104, 0.53, 0.25, 0.53, 0.24
model-1693255432, 1693255499.014, 0.57, 0.24, 0.51, 0.25
model-1693255432, 1693255499.92, 0.54, 0.25, 0.53, 0.24
model-1693255432, 1693255500.8, 0.54, 0.23, 0.47, 0.25
model-1693255432, 1693255501.724, 0.56, 0.24, 0.48, 0.25
model-1693255432, 1693255502.572, 0.6, 0.24, 0.48, 0.25
model-1693255432, 1693255503.623, 0.53, 0.24, 0.62, 0.24
model-1693255432, 1693255504.541, 0.58, 0.24, 0.59, 0.24
model-1693255432, 1693255505.448, 0.53, 0.25, 0.62, 0.24
model-1693255432, 1693255506.303, 0.64, 0.24, 0.52, 0.25
model-1693255432, 1693255507.228, 0.66, 0.24, 0.62, 0.23
model-1693255432, 1693255508.111, 0.56, 0.24, 0.68, 0.23
model-1693255432, 1693255509.03, 0.6, 0.24, 0.52, 0.25
model-1693255432, 1693255509.941, 0.61, 0.24, 0.57, 0.23
model-1693255432, 1693255510.789, 0.63, 0.23, 0.57, 0.25
model-1693255432, 1693255511.782, 0.56, 0.24, 0.49, 0.25
model-1693255432, 1693255512.683, 0.52, 0.26, 0.58, 0.24
model-1693255432, 1693255513.546, 0.65, 0.23, 0.58, 0.25
model-1693255432, 1693255514.428, 0.49, 0.27, 0.64, 0.24
model-1693255432, 1693255515.281, 0.6, 0.24, 0.53, 0.25
model-1693255432, 1693255516.148, 0.6, 0.24, 0.51, 0.25
model-1693255432, 1693255517.068, 0.54, 0.23, 0.61, 0.23
model-1693255432, 1693255518.175, 0.59, 0.23, 0.53, 0.26
model-1693255432, 1693255519.232, 0.53, 0.24, 0.54, 0.24
model-1693255432, 1693255520.171, 0.54, 0.25, 0.61, 0.23
model-1693255432, 1693255521.116, 0.59, 0.24, 0.54, 0.24
model-1693255432, 1693255522.066, 0.55, 0.24, 0.61, 0.25
model-1693255432, 1693255522.922, 0.64, 0.23, 0.69, 0.23
model-1693255432, 1693255523.743, 0.54, 0.24, 0.57, 0.23
model-1693255432, 1693255524.619, 0.54, 0.26, 0.64, 0.23
model-1693255432, 1693255525.465, 0.58, 0.24, 0.61, 0.23
model-1693255432, 1693255526.396, 0.55, 0.25, 0.58, 0.24
model-1693255432, 1693255527.251, 0.57, 0.24, 0.62, 0.23
model-1693255432, 1693255528.151, 0.62, 0.24, 0.6, 0.23
model-1693255432, 1693255529.011, 0.54, 0.25, 0.58, 0.24
model-1693255432, 1693255529.938, 0.55, 0.24, 0.63, 0.23
model-1693255432, 1693255530.791, 0.65, 0.23, 0.6, 0.24
model-1693255432, 1693255531.653, 0.53, 0.24, 0.58, 0.25
model-1693255432, 1693255532.527, 0.54, 0.24, 0.56, 0.24
model-1693255432, 1693255533.611, 0.52, 0.25, 0.69, 0.22
model-1693255432, 1693255534.502, 0.55, 0.26, 0.64, 0.23
model-1693255432, 1693255535.384, 0.55, 0.25, 0.64, 0.24
model-1693255432, 1693255536.239, 0.57, 0.24, 0.62, 0.24
model-1693255432, 1693255537.104, 0.61, 0.23, 0.6, 0.24
model-1693255432, 1693255537.977, 0.63, 0.24, 0.68, 0.23
model-1693255432, 1693255539.041, 0.45, 0.25, 0.61, 0.24
model-1693255432, 1693255539.977, 0.62, 0.24, 0.65, 0.23
model-1693255432, 1693255540.866, 0.61, 0.24, 0.57, 0.24
model-1693255432, 1693255541.996, 0.56, 0.25, 0.42, 0.25
model-1693255432, 1693255542.95, 0.61, 0.23, 0.75, 0.22
model-1693255432, 1693255543.824, 0.58, 0.24, 0.62, 0.24
model-1693255432, 1693255544.769, 0.65, 0.23, 0.67, 0.23
model-1693255432, 1693255545.669, 0.52, 0.24, 0.67, 0.23
model-1693255432, 1693255546.648, 0.59, 0.23, 0.48, 0.25
model-1693255432, 1693255547.809, 0.57, 0.24, 0.59, 0.24
model-1693255432, 1693255548.781, 0.61, 0.23, 0.56, 0.24
model-1693255432, 1693255549.796, 0.56, 0.24, 0.65, 0.23
model-1693255432, 1693255550.727, 0.61, 0.24, 0.65, 0.23
model-1693255432, 1693255551.643, 0.68, 0.22, 0.63, 0.22
model-1693255432, 1693255552.544, 0.71, 0.22, 0.59, 0.24
model-1693255432, 1693255553.477, 0.53, 0.26, 0.61, 0.23
model-1693255432, 1693255554.352, 0.7, 0.22, 0.63, 0.23
model-1693255432, 1693255555.185, 0.66, 0.24, 0.63, 0.24
model-1693255432, 1693255556.02, 0.58, 0.24, 0.66, 0.22
model-1693255432, 1693255556.859, 0.52, 0.27, 0.58, 0.23
model-1693255432, 1693255557.686, 0.58, 0.24, 0.66, 0.21
